name,slug,description
APC,apc,Data center racks and cabinet infrastructure
CMO,cmo,Network and server rack infrastructure
Cabeus,cabeus,Telecommunications and structured cabling rack systems
Digitus,digitus,IT racks cabinets and networking infrastructure
HPE,hpe,Enterprise server racks and integrated infrastructure solutions
Hammond,hammond,Industrial enclosures racks and cabinets
Hyperline,hyperline,Structured cabling and telecommunications rack solutions
MetalBox,metalbox,Network and server cabinet infrastructure
Minkels,minkels,Data center racks containment and cabinet solutions
NavePoint,navepoint,Network and server racks for enterprise deployments
Panduit,panduit,Structured cabling racks cable management and industrial infrastructure
Rittal,rittal,Industrial enclosures IT racks and data center infrastructure solutions
StarTech.com,startech,Server racks cabinets and IT infrastructure accessories
Systeme Electric,systeme-electric,Power distribution racks and critical infrastructure solutions
Tecnosteel,tecnosteel,Data center cabinets and rack enclosure systems
Vertiv,vertiv,Critical infrastructure racks power and thermal management solutions
Wavenet,wavenet,Network cabinets wall mounts and rack infrastructure
